require,mp_brecourt

#Team Specifics!
xmodel,viewhands_tf141
xmodel,viewhands_sniper_tf141_forest
xmodel,mp_body_forest_tf141_assault_a
xmodel,mp_body_forest_tf141_assault_b
xmodel,mp_body_forest_tf141_lmg
xmodel,mp_body_forest_tf141_smg
xmodel,mp_body_forest_tf141_shotgun
xmodel,mp_body_tf141_forest_sniper
xmodel,head_tf141_forest_a
xmodel,head_tf141_forest_b
xmodel,head_tf141_forest_c
xmodel,head_tf141_forest_d
xmodel,head_allies_tf141_forest_sniper
xmodel,mp_body_riot_tf141_forest
xmodel,head_riot_tf141_forest
xmodel,com_plasticcase_taskforce141
xmodel,prop_flag_tf141_carry
xmodel,prop_flag_tf141

#Materials!
material,headicon_taskforce141
material,faction_128_taskforce141_fade
material,faction_128_taskforce141
material,objpoint_flag_taskforce